                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    119,                0.83238,                0.52293,                0.82258,                0.96403,                0.99871,                0.99375,                0.81531,                0.76691,                0.53831,                0.82097,             0.00076738,             0.00076738,             0.00076738
                    120,                0.92766,                0.54833,                0.85154,                0.96685,                 0.9791,                0.99375,                0.81833,                0.84304,                0.52064,                0.82772,             0.00076325,             0.00076325,             0.00076325
                    121,                0.87905,                0.56991,                0.85871,                0.96685,                 0.9791,                0.99375,                0.81833,                0.84304,                0.52064,                0.82772,             0.00075912,             0.00075912,             0.00075912
                    122,                 1.0437,                 0.5978,                0.84887,                0.96685,                 0.9791,                0.99375,                0.81833,                0.84304,                0.52064,                0.82772,               0.000755,               0.000755,               0.000755
                    123,                0.94184,                0.60529,                0.82817,                0.96685,                 0.9791,                0.99375,                0.81833,                0.84304,                0.52064,                0.82772,             0.00075088,             0.00075088,             0.00075088
                    124,                0.93905,                0.59176,                 0.8456,                0.97551,                0.97778,                0.99375,                0.81675,                0.87612,                0.60192,                0.82984,             0.00074675,             0.00074675,             0.00074675
                    125,                0.96311,                0.54268,                 0.8486,                0.97551,                0.97778,                0.99375,                0.81675,                0.87612,                0.60192,                0.82984,             0.00074263,             0.00074263,             0.00074263
                    126,                0.94771,                0.59717,                0.84347,                0.97551,                0.97778,                0.99375,                0.81675,                0.87612,                0.60192,                0.82984,              0.0007385,              0.0007385,              0.0007385
                    127,                0.88442,                0.51664,                 0.8429,                0.97551,                0.97778,                0.99375,                0.81675,                0.87612,                0.60192,                0.82984,             0.00073437,             0.00073437,             0.00073437
                    128,                0.91918,                0.54865,                0.86283,                0.96529,                      1,                0.99375,                0.82332,                0.82141,                0.65118,                 0.8273,             0.00073025,             0.00073025,             0.00073025
                    129,                 1.0043,                0.67017,                0.89983,                0.96529,                      1,                0.99375,                0.82332,                0.82141,                0.65118,                 0.8273,             0.00072612,             0.00072612,             0.00072612
                    130,                0.98969,                0.71075,                0.87564,                0.96529,                      1,                0.99375,                0.82332,                0.82141,                0.65118,                 0.8273,               0.000722,               0.000722,               0.000722
                    131,                0.92076,                0.55424,                0.85246,                0.96529,                      1,                0.99375,                0.82332,                0.82141,                0.65118,                 0.8273,             0.00071788,             0.00071788,             0.00071788
